"trust_id","trust_code","trust_name","trust_type","region","reporting_date","general_beds_open","general_beds_occupied","general_bed_occupancy_pct","critical_care_beds_open","critical_care_beds_occupied","critical_care_occupancy_pct","ae_attendances","four_hour_breaches","four_hour_breach_pct","ambulance_arrivals","ambulance_handover_delays","ambulance_handover_delay_pct","patients_ready_for_discharge","admissions","discharges","net_admissions","establishment_fte","substantive_fte","absence_fte","workforce_absence_pct","agency_fte","bank_fte","unfilled_shifts","temperature_min_c","temperature_max_c","precipitation_mm","snowfall_mm","wind_speed_mph","weather_warning_level","weather_warning_type","minimum_temperature_band","assessment_timestamp","recommended_opel_level","approved_opel_level","previous_approved_opel_level","prediction_confidence","assessment_method","assessment_rationale","key_pressure_factors","approval_status","assessed_by_role","reviewed_by_role","reviewed_at","rule_version","operational_pressure_status","human_override_indicator","operational_source_system","operational_source_record_id","load_batch_id","data_quality_status"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-17",430,401,"93.26",28,24,"85.71",337,74,"21.96",104,31,"29.81",48,218,205,13,"940.00","846.00","66.80","7.11","47.00","23.50","17","-1.60","5.50","3.20","0.00","21.00",NULL,NULL,"Below 0°C","2026-01-17 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-17 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260117","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-18",430,406,"94.42",28,24,"85.71",348,77,"22.13",90,34,"37.78",43,205,198,7,"940.00","846.00","69.80","7.43","47.00","23.50","18","-0.40","3.50","14.00","0.00","36.00","yellow","ice","Below 0°C","2026-01-18 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-18 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260118","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-19",430,411,"95.58",28,24,"85.71",334,73,"21.86",94,30,"31.91",44,210,200,10,"940.00","846.00","67.80","7.21","47.00","23.50","19","-1.20","4.50","14.00","45.00","48.00","amber","snow and ice","Below 0°C","2026-01-19 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-19 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260119","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-20",430,404,"93.95",28,24,"85.71",345,76,"22.03",98,33,"33.67",45,215,202,13,"940.00","846.00","65.80","7.00","47.00","23.50","16","-2.00","5.50","7.50","0.00","18.00",NULL,NULL,"Below 0°C","2026-01-20 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-20 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260120","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-21",430,409,"95.12",28,26,"92.86",331,73,"22.05",102,29,"28.43",46,220,204,16,"940.00","846.00","68.80","7.32","47.00","23.50","17","-0.80","3.50","3.20","0.00","21.00",NULL,NULL,"Below 0°C","2026-01-21 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-21 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260121","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-22",430,402,"93.49",28,26,"92.86",342,75,"21.93",106,32,"30.19",47,207,206,1,"940.00","846.00","66.80","7.11","47.00","23.50","18","-1.60","4.50","3.20","0.00","24.00",NULL,NULL,"Below 0°C","2026-01-22 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-22 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260122","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-23",430,420,"97.67",28,26,"92.86",348,108,"31.03",92,50,"54.35",48,212,199,13,"940.00","846.00","83.90","8.93","65.80","23.50","26","3.10","9.50","3.20","0.00","27.00",NULL,NULL,"3°C and above","2026-01-23 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-23 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260123","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-24",430,413,"96.05",28,26,"92.86",359,111,"30.92",96,46,"47.92",43,217,201,16,"940.00","846.00","81.90","8.71","65.80","23.50","23","2.30","7.50","7.50","0.00","18.00",NULL,NULL,"0°C to below 3°C","2026-01-24 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-24 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260124","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-25",430,418,"97.21",28,26,"92.86",345,107,"31.01",100,49,"49.00",44,222,203,19,"940.00","846.00","79.90","8.50","65.80","23.50","24","1.50","8.50","14.00","0.00","36.00","yellow","ice","0°C to below 3°C","2026-01-25 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-25 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260125","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-26",430,423,"98.37",28,26,"92.86",356,110,"30.90",104,45,"43.27",45,209,205,4,"940.00","846.00","82.90","8.82","65.80","23.50","25","2.70","9.50","14.00","0.00","48.00","yellow","wind","0°C to below 3°C","2026-01-26 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-26 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260126","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-27",430,416,"96.74",28,26,"92.86",367,114,"31.06",90,48,"53.33",46,214,198,16,"940.00","846.00","80.90","8.61","65.80","23.50","26","1.90","7.50","3.20","0.00","27.00",NULL,NULL,"0°C to below 3°C","2026-01-27 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-27 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260127","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-28",430,421,"97.91",28,26,"92.86",353,109,"30.88",94,44,"46.81",47,219,200,19,"940.00","846.00","83.90","8.93","65.80","23.50","23","3.10","8.50","7.50","0.00","18.00",NULL,NULL,"3°C and above","2026-01-28 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-28 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260128","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-29",430,414,"96.28",28,26,"92.86",364,113,"31.04",98,47,"47.96",48,206,202,4,"940.00","846.00","81.90","8.71","65.80","23.50","24","2.30","9.50","3.20","0.00","21.00",NULL,NULL,"0°C to below 3°C","2026-01-29 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-29 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260129","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-30",430,419,"97.44",28,26,"92.86",350,109,"31.14",102,50,"49.02",43,211,204,7,"940.00","846.00","79.90","8.50","65.80","23.50","25","1.50","7.50","3.20","0.00","24.00",NULL,NULL,"0°C to below 3°C","2026-01-30 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-30 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260130","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-01",220,188,"85.45",12,9,"75.00",106,8,"7.55",59,11,"18.64",19,77,73,4,"430.00","399.90","18.05","4.20","8.60","6.45","3","1.20","7.00","2.20","0.00","21.00",NULL,NULL,"0°C to below 3°C","2026-01-01 10:00:00+00",1,1,NULL,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-01 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-SCT003-20260101","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-02",220,191,"86.82",12,9,"75.00",117,9,"7.69",63,14,"22.22",20,82,77,5,"430.00","399.90","16.05","3.73","8.60","6.45","4","0.40","8.00","2.20","0.00","24.00",NULL,NULL,"0°C to below 3°C","2026-01-02 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-02 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-SCT003-20260102","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-03",220,186,"84.55",12,9,"75.00",103,8,"7.77",67,10,"14.93",21,87,81,6,"430.00","399.90","19.05","4.43","8.60","6.45","5","1.60","6.00","2.20","0.00","27.00",NULL,NULL,"0°C to below 3°C","2026-01-03 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-03 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-SCT003-20260103","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-04",220,189,"85.91",12,9,"75.00",114,9,"7.89",71,13,"18.31",22,74,70,4,"430.00","399.90","17.05","3.97","8.60","6.45","2","0.80","7.00","13.00","0.00","36.00","yellow","ice","0°C to below 3°C","2026-01-04 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-04 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-SCT003-20260104","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-05",220,192,"87.27",12,9,"75.00",100,8,"8.00",57,9,"15.79",23,79,74,5,"430.00","399.90","15.05","3.50","8.60","6.45","3","0.00","8.00","13.00","0.00","48.00","yellow","wind","0°C to below 3°C","2026-01-05 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-05 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-SCT003-20260105","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-06",220,187,"85.00",12,9,"75.00",111,9,"8.11",61,12,"19.67",18,84,78,6,"430.00","399.90","18.05","4.20","8.60","6.45","4","1.20","6.00","2.20","0.00","24.00",NULL,NULL,"0°C to below 3°C","2026-01-06 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-06 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-SCT003-20260106","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-07",220,190,"86.36",12,9,"75.00",97,8,"8.25",65,8,"12.31",19,89,82,7,"430.00","399.90","16.05","3.73","8.60","6.45","5","0.40","7.00","2.20","0.00","27.00",NULL,NULL,"0°C to below 3°C","2026-01-07 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-07 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-SCT003-20260107","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-08",220,196,"89.09",12,9,"75.00",143,19,"13.29",69,20,"28.99",20,76,71,5,"430.00","399.90","25.50","5.93","12.90","6.45","5","5.10","11.00","6.50","0.00","18.00",NULL,NULL,"3°C and above","2026-01-08 10:00:00+00",2,2,1,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-08 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-SCT003-20260108","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-09",220,199,"90.45",12,9,"75.00",154,20,"12.99",55,23,"41.82",21,81,75,6,"430.00","399.90","23.50","5.47","12.90","6.45","6","4.30","9.00","2.20","0.00","21.00",NULL,NULL,"3°C and above","2026-01-09 10:00:00+00",2,2,2,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-09 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-SCT003-20260109","11111111-1111-4111-8111-111111111111","valid"
"15","SCT003","South County Community Trust","Community Trust","South","2026-01-10",220,202,"91.82",12,9,"75.00",140,18,"12.86",59,19,"32.20",22,86,79,7,"430.00","399.90","21.50","5.00","12.90","6.45","7","3.50","10.00","2.20","0.00","24.00",NULL,NULL,"3°C and above","2026-01-10 10:00:00+00",2,2,2,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-10 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-SCT003-20260110","11111111-1111-4111-8111-111111111111","valid"
